Strike,Call,Put
2500,406.82,10.73
2520,389.14,12.86
2540,370.39,13.91
2560,354.36,17.69
2580,335.09,18.22
2600,319.47,22.4
2620,301.22,23.95
2640,282.38,24.92
2660,264.64,26.98
2680,248.01,30.16
2700,232.3,34.25
2720,219.94,41.7
2740,203.18,44.74
2760,185.46,46.83
2780,168.64,49.82
2800,156.89,57.87
2820,145.87,66.66
2840,137.2,77.79
2860,117.19,78.58
2880,106.6,86.8
2900,98.6,98.6
2920,83.45,103.25
2940,78.15,117.76
2960,64.53,123.94
2980,57.96,137.18
3000,50.9,149.92
3020,45.17,164
3040,42.2,180.83
3060,35.41,193.84
3080,29.19,207.43
3100,23.69,221.74
3120,21.39,239.24
3140,15.56,253.22
3160,12.28,269.74
3180,8.97,286.23
3200,7.34,304.41
3220,5.43,322.3
3240,4.01,340.69
3260,3.4,359.88
3280,2.14,378.43
3300,1.25,398.34
